# orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber
10100,20/07/2019,27/07/2019,24/07/2019,Shipped,,363
10101,23/07/2019,01/08/2019,25/07/2019,Shipped,Check on availability.,128
10102,24/07/2019,01/08/2019,28/07/2019,Shipped,,181
10103,12/08/2019,21/08/2019,16/08/2019,Shipped,,121
10104,14/08/2019,23/08/2019,15/08/2019,Shipped,,141
10105,25/08/2019,04/09/2019,26/08/2019,Shipped,,145
10106,31/08/2019,07/09/2019,04/09/2019,Shipped,,278
10107,07/09/2019,14/09/2019,09/09/2019,Shipped,Difficult to negotiate with customer. We need more marketing materials,131
10108,14/09/2019,23/09/2019,19/09/2019,Shipped,,385
10109,21/09/2019,30/09/2019,22/09/2019,Shipped,Customer requested that FedEx Ground is used for this shipping,486
10110,29/09/2019,05/10/2019,01/10/2019,Shipped,,187
10111,06/10/2019,12/10/2019,11/10/2019,Shipped,,129
10112,05/10/2019,15/10/2019,10/10/2019,Shipped,"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment",144
10113,07/10/2019,14/10/2019,08/10/2019,Shipped,,124
10114,13/10/2019,19/10/2019,14/10/2019,Shipped,,172
10115,16/10/2019,24/10/2019,19/10/2019,Shipped,,424
10116,23/10/2019,31/10/2019,25/10/2019,Shipped,,381
10117,28/10/2019,05/11/2019,29/10/2019,Shipped,,148
10118,02/11/2019,10/11/2019,07/11/2019,Shipped,Customer has worked with some of our vendors in the past and is aware of their MSRP,216
10119,09/11/2019,16/11/2019,13/11/2019,Shipped,,382
10120,10/11/2019,19/11/2019,12/11/2019,Shipped,,114
10121,18/11/2019,24/11/2019,24/11/2019,Shipped,,353
10122,19/11/2019,27/11/2019,24/11/2019,Shipped,,350
10123,01/12/2019,10/12/2019,03/12/2019,Shipped,,103
10124,02/12/2019,10/12/2019,06/12/2019,Shipped,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,112
10125,02/12/2019,08/12/2019,05/12/2019,Shipped,,114
10126,09/12/2019,19/12/2019,14/12/2019,Shipped,,458
10127,15/12/2019,21/12/2019,18/12/2019,Shipped,Customer requested special shippment. The instructions were passed along to the warehouse,151
10128,18/12/2019,24/12/2019,23/12/2019,Shipped,,141
10129,24/12/2019,30/12/2019,26/12/2019,Shipped,,324
10130,28/12/2019,05/01/2020,02/01/2020,Shipped,,198
10131,28/12/2019,06/01/2020,02/01/2020,Shipped,,447
10132,06/01/2020,12/01/2020,09/01/2020,Shipped,,323
10133,08/01/2020,15/01/2020,14/01/2020,Shipped,,141
10134,12/01/2020,21/01/2020,16/01/2020,Shipped,,250
10135,13/01/2020,23/01/2020,14/01/2020,Shipped,,124
10136,15/01/2020,25/01/2020,17/01/2020,Shipped,Customer is interested in buying more Ferrari models,242
10137,21/01/2020,31/01/2020,25/01/2020,Shipped,,353
10138,18/01/2020,27/01/2020,24/01/2020,Shipped,,496
10139,27/01/2020,03/02/2020,01/02/2020,Shipped,,282
10140,04/02/2020,13/02/2020,10/02/2020,Shipped,,161
10141,12/02/2020,20/02/2020,15/02/2020,Shipped,,334
10142,19/02/2020,27/02/2020,24/02/2020,Shipped,,124
10143,21/02/2020,29/02/2020,23/02/2020,Shipped,Can we deliver the new Ford Mustang models by end-of-quarter?,320
10144,24/02/2020,03/03/2020,25/02/2020,Shipped,,381
10145,07/03/2020,15/03/2020,13/03/2020,Shipped,,205
10146,16/03/2020,26/03/2020,19/03/2020,Shipped,,447
10147,18/03/2020,25/03/2020,22/03/2020,Shipped,,379
10148,24/03/2020,03/04/2020,28/03/2020,Shipped,They want to reevaluate their terms agreement with Finance.,276
10149,25/03/2020,31/03/2020,30/03/2020,Shipped,,487
10150,01/04/2020,09/04/2020,03/04/2020,Shipped,They want to reevaluate their terms agreement with Finance.,148
10151,03/04/2020,12/04/2020,06/04/2020,Shipped,,311
10152,07/04/2020,15/04/2020,13/04/2020,Shipped,,333
10153,10/04/2020,17/04/2020,15/04/2020,Shipped,,141
10154,14/04/2020,24/04/2020,20/04/2020,Shipped,,219
10155,18/04/2020,25/04/2020,19/04/2020,Shipped,,186
10156,20/04/2020,29/04/2020,23/04/2020,Shipped,,141
10157,21/04/2020,27/04/2020,26/04/2020,Shipped,,473
10158,22/04/2020,30/04/2020,27/04/2020,Shipped,,121
10159,22/04/2020,01/05/2020,28/04/2020,Shipped,,321
10160,23/04/2020,29/04/2020,29/04/2020,Shipped,,347
10161,29/04/2020,07/05/2020,02/05/2020,Shipped,,227
10162,30/04/2020,08/05/2020,01/05/2020,Shipped,,321
10163,02/05/2020,09/05/2020,06/05/2020,Shipped,,424
10164,03/05/2020,12/05/2020,05/05/2020,Resolved,"This order was disputed, but resolved on 11/1/2003; Customer doesn't like the colors and precision of the models.",452
10165,04/05/2020,13/05/2020,08/07/2020,Shipped,This order was on hold because customers's credit limit had been exceeded. Order will ship when payment is received,148
10166,03/05/2020,12/05/2020,09/05/2020,Shipped,,462
10167,05/05/2020,12/05/2020,,Cancelled,Customer called to cancel. The warehouse was notified in time and the order didn't ship. They have a new VP of Sales and are shifting their sales model. Our VP of Sales should contact them.,448
10168,10/05/2020,16/05/2020,14/05/2020,Shipped,,161
10169,17/05/2020,27/05/2020,22/05/2020,Shipped,,276
10170,17/05/2020,25/05/2020,20/05/2020,Shipped,,452
10171,18/05/2020,26/05/2020,20/05/2020,Shipped,,233
10172,18/05/2020,27/05/2020,24/05/2020,Shipped,,175
10173,18/05/2020,28/05/2020,22/05/2020,Shipped,"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches",278
10174,19/05/2020,28/05/2020,23/05/2020,Shipped,,333
10175,19/05/2020,27/05/2020,22/05/2020,Shipped,,324
10176,19/05/2020,28/05/2020,25/05/2020,Shipped,,386
10177,20/05/2020,30/05/2020,25/05/2020,Shipped,,344
